outlet_id,outlet_name,outlet_type,city,cuisine_type,account_manager,seating_capacity,google_rating,instagram_followers,months_onboarded,flavours_ordered,complaints_last3m,payment_delay_days,am_assigned,outreach_response_rate,order_m1,order_m2,order_m3,order_m4,order_m5,order_m6,avg_monthly_cubes,order_trend_pct,days_since_last_order,monthly_revenue_inr,monthly_gp_inr,annual_revenue_inr,ltv_24m_inr,churn_risk_score,churned,recommended_intervention,intervention_cost_inr,expected_revenue_saved_inr,retention_roi,intervention_efficiency,retention_priority_index,health_tier,priority_tier,city_enc,type_enc,cuisine_enc,order_slope,order_volatility,recent_vs_avg,churn_prob_model,churn_risk_model,ltv_predicted_inr
FF-1010,The Cellar Bar,Premium Café,Bangalore,Continental,Neha Joshi,294,4.1,34255,25,5,2,41,0,2,14781,14989,15741,14493,14340,13027,14561,-11.87,89,87366,40188,1048392,964512,45.5,0,Extended Credit Terms,1747,263311,14963.6,0.7,10.25,🟡 At Risk,Tier 2 – Engage,0,6,0,-350.8,897.8419497142393,0.8945886554044774,0.17330748518663064,17.3,574296
FF-1011,Pearl Continental,Catering Service,Delhi,Mediterranean,Riya Sharma,120,3.6,40890,9,7,3,5,1,1,16136,15871,16989,15731,14471,12863,15343,-20.28,40,92058,42347,1104696,1016328,9.1,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,2,3,5,-654.6,1461.3880730319377,0.8383081334723671,0.047879289406365926,4.8,928339
FF-1012,Breezy Bites,Fine Dining Restaurant,Delhi,Pan-Asian,Riya Sharma,63,3.8,24211,2,1,6,14,1,0,19298,20760,21254,20722,19837,18638,20084,-3.42,77,120504,55432,1446048,1330368,45.5,0,Dedicated Account Manager,8000,363190,4439.3,0.85,17.16,🟡 At Risk,Tier 1 – Urgent,2,5,7,-132.0,1000.263648578047,0.9279561862086134,0.2615506209492906,26.2,1151312
FF-1013,Metro Mixology,Premium Café,Chennai,Italian,Neha Joshi,36,4.6,58493,15,7,6,29,0,0,6326,6370,6833,6499,5679,5174,6146,-18.21,68,36876,16963,442512,50889,72.7,1,Extended Credit Terms,738,22197,2903.8,0.7,0.86,🔴 Critical,Tier 3 – Monitor,1,6,3,-230.4,606.9633981276521,0.8417114039368798,0.48503366727584996,48.5,171762
FF-1014,The Social Hub,Premium Café,Pune,Pan-Asian,Neha Joshi,76,4.9,75196,3,7,3,41,1,2,18870,18191,17176,16074,14940,13191,16407,-30.09,46,98442,45283,1181304,1086792,36.4,0,Extended Credit Terms,1969,237355,11948.5,0.7,9.24,🟢 Healthy,Tier 2 – Engage,5,6,7,-1135.8,2118.774173903392,0.8039371038517796,0.18952586639279287,19.0,903594
FF-1015,Terrace & Toast,Premium Café,Ranchi,Continental,Priya Nair,31,3.3,27713,4,6,3,36,1,3,12120,12526,12480,11385,9586,7633,10955,-37.02,78,65730,30236,788760,725664,45.5,0,Extended Credit Terms,1315,198106,14953.7,0.7,7.71,🟡 At Risk,Tier 2 – Engage,6,6,0,-897.4,1961.919264393925,0.6966958744067178,0.35730790831400916,35.7,534561
FF-1016,Altitude Lounge,Bar & Lounge,Mumbai,Italian,Riya Sharma,99,4.2,58284,14,2,3,36,1,1,10552,10166,10331,8380,6335,4776,8423,-54.73,13,50538,23247,606456,534681,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,4,2,3,-1155.2,2403.0545284422215,0.5669515669515669,0.11779938699229493,11.8,518721
FF-1017,The Copper Pot,Bar & Lounge,Delhi,Pan-Asian,Vikram Singh,235,4.8,7921,25,2,5,41,1,1,15060,16034,16243,12304,9807,7801,12874,-48.2,27,77244,35532,926928,852768,36.4,0,Extended Credit Terms,1545,186244,11946.9,0.7,7.25,🟢 Healthy,Tier 2 – Engage,2,2,7,-1451.8,3509.4464188339825,0.6059029126213592,0.25735547724282154,25.7,523126
FF-1018,Velvet Room,Bar & Lounge,Delhi,Multi-Cuisine,Arjun Mehta,283,3.3,18227,10,4,3,36,1,0,9158,8974,8832,6794,5381,4321,7243,-52.81,6,43458,19991,521496,479784,36.4,0,Extended Credit Terms,869,104784,11944.3,0.7,4.08,🟢 Healthy,Tier 3 – Monitor,2,2,6,-967.4,2068.5857648806027,0.5964936499171728,0.2637808701969237,26.4,423894
FF-1019,Zest & Zeal,Premium Café,Mumbai,Indian,Arjun Mehta,168,4.7,4858,21,4,4,34,0,0,21125,21293,20741,19319,19404,17311,19865,-18.05,17,119190,54827,1430280,1315848,36.4,0,Extended Credit Terms,2384,287381,11949.6,0.7,11.18,🟢 Healthy,Tier 2 – Engage,4,6,2,-762.8,1511.8010120382905,0.8713883016208598,0.1784800387011453,17.8,1074742
FF-1020,Neon Nights Bar,5-Star Hotel,Bangalore,Continental,Neha Joshi,100,3.8,65608,12,6,2,22,1,3,19277,17890,16821,17602,16798,16048,17406,-16.75,36,104436,48041,1253232,768656,0.0,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,0,1,0,-645.8,1125.1103057034009,0.9219279600160855,0.05128368950749888,5.1,864577
FF-1021,The Garden Table,Premium Café,Hyderabad,Pan-Asian,Priya Nair,234,3.8,32617,27,4,5,5,1,3,12345,12199,11987,10754,9907,8986,11029,-27.21,81,66174,30440,794088,456600,36.4,0,Dedicated Account Manager,8000,99721,1146.4,0.85,4.71,🟢 Healthy,Tier 3 – Monitor,3,6,7,-671.8,1380.3532398146015,0.814687216681777,0.24677694964510333,24.7,515058
FF-1022,Harbour View,Premium Café,Ranchi,Continental,Arjun Mehta,217,5.0,32410,2,2,3,3,0,3,9198,9687,9164,9532,8870,8287,9123,-9.9,2,54738,25179,656856,604296,9.1,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,6,6,0,-182.2,501.1163537542953,0.9082639193336256,0.058389769786883663,5.8,542242
FF-1023,Crimson Fork,Bar & Lounge,Mumbai,Japanese,Riya Sharma,219,3.6,56254,13,7,1,17,1,2,6758,7088,7353,6952,6745,6718,6935,-0.59,77,41610,19141,499320,363679,27.3,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,4,2,4,-8.0,250.17487217277971,0.9685697808535179,0.17768973815428754,17.8,346050
FF-1024,Olive & Oak,Bar & Lounge,Chennai,Continental,Neha Joshi,44,4.4,62938,32,3,7,8,1,0,8483,8108,7730,7863,8021,7208,7902,-15.03,52,47412,21810,568944,436200,45.5,0,Dedicated Account Manager,8000,119082,1388.4,0.85,5.63,🟡 At Risk,Tier 3 – Monitor,1,2,0,-255.0,425.88703510046736,0.912058711881564,0.1721495413022906,17.2,262095
FF-1025,The Rooftop Sip,Fine Dining Restaurant,Hyderabad,Italian,Vikram Singh,108,4.7,29871,31,5,1,28,1,2,5489,5248,4877,4949,4587,4637,4964,-15.52,66,29784,13701,357408,328824,36.4,0,Extended Credit Terms,596,71815,11929.5,0.7,2.79,🟢 Healthy,Tier 3 – Monitor,3,5,3,-170.4,350.1803820890028,0.933937562940584,0.08623759013715931,8.6,278987
FF-1026,Downtown Diner,Premium Café,Bangalore,Japanese,Neha Joshi,287,3.3,52001,16,3,2,12,1,0,17773,18675,18831,18901,17322,17065,18094,-3.98,52,108564,49939,1302768,699146,36.4,0,Dedicated Account Manager,8000,152693,1808.4,0.85,7.21,🟢 Healthy,Tier 2 – Engage,0,6,4,-141.6,811.1526983250441,0.9430781983973473,0.13703493381318804,13.7,820730
FF-1027,Bombay Blend,Bar & Lounge,Ranchi,Fusion,Vikram Singh,162,4.4,61446,32,3,6,16,0,0,9282,9921,10072,6840,4590,3018,7287,-67.48,77,43722,20112,524664,100560,81.8,1,Dedicated Account Manager,8000,49354,516.9,0.85,2.33,🔴 Critical,Tier 3 – Monitor,6,2,1,-1252.8,2978.999323038974,0.4141053787047201,0.8806220550261652,88.1,116871
FF-1028,The Mango Tree,5-Star Hotel,Mumbai,Italian,Neha Joshi,78,4.9,38967,32,2,0,44,1,1,8188,7657,8112,7779,7401,7213,7725,-11.91,22,46350,21321,556200,511704,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,4,1,3,-195.0,384.39510923007333,0.9336008283717319,0.05685381311463058,5.7,420149
FF-1029,Latitude 28,Premium Café,Mumbai,Indian,Neha Joshi,45,3.4,18125,34,3,0,31,1,0,14992,14872,15055,13152,12526,11077,13612,-26.11,55,81672,37569,980064,150276,54.5,1,Extended Credit Terms,1633,49140,2907.4,0.7,1.91,🟡 At Risk,Tier 3 – Monitor,4,6,2,-783.0,1636.5493780105342,0.8137074854918093,0.49087062329237724,49.1,463587
FF-1030,The Ice House,5-Star Hotel,Mumbai,Japanese,Neha Joshi,66,4.8,34393,11,6,7,21,1,0,8078,7867,7672,7677,6938,7016,7541,-13.15,67,45246,20813,542952,249756,45.5,0,Dedicated Account Manager,8000,68183,752.2,0.85,3.22,🟡 At Risk,Tier 3 – Monitor,4,1,4,-212.4,462.5008828820402,0.930257226199947,0.2769170854116217,27.7,226331
FF-1031,Pearl & Petal,Premium Café,Hyderabad,Fusion,Vikram Singh,285,4.3,76829,10,1,6,3,0,2,13667,14477,15178,13788,12452,10294,13309,-24.68,60,79854,36733,958248,697927,45.5,0,Dedicated Account Manager,8000,190534,2281.4,0.85,9.0,🟡 At Risk,Tier 2 – Engage,3,6,1,-674.6,1734.339259391503,0.7734034560480841,0.21096849870335366,21.1,685206
FF-1032,Mosaic Café,Premium Café,Delhi,Multi-Cuisine,Vikram Singh,35,4.3,31507,15,4,5,4,1,0,16476,15378,15477,15264,14461,13398,15075,-18.68,58,90450,41607,1085400,998568,45.5,0,Dedicated Account Manager,8000,272609,3307.2,0.85,12.88,🟡 At Risk,Tier 1 – Urgent,2,6,6,-615.6,1043.1929191988731,0.8886972671796233,0.0950015529937446,9.5,897283
FF-1033,The Black Label,Cloud Kitchen,Delhi,Continental,Neha Joshi,218,4.3,40032,17,1,5,36,1,2,16090,15346,14312,8661,5113,3250,10462,-79.8,30,62772,28875,753264,28875,63.6,1,Extended Credit Terms,1255,11018,777.3,0.7,0.43,🟡 At Risk,Tier 3 – Monitor,2,4,0,-2568.0,5553.713820498856,0.3106183694924974,0.8161926120967367,81.6,272906
FF-1034,Sundowner Bar,Catering Service,Delhi,Pan-Asian,Arjun Mehta,105,3.7,54753,18,7,5,40,0,3,6539,6803,6874,4359,2809,1802,4864,-72.43,120,29184,13425,350208,26850,100.0,1,Extended Credit Terms,584,16110,2654.0,0.7,0.63,🔴 Critical,Tier 3 – Monitor,2,3,7,-947.4,2211.7567376785964,0.37040082219938336,0.9130938091613349,91.3,64069
FF-1035,Spice Symphony,Fine Dining Restaurant,Delhi,Mediterranean,Priya Nair,269,4.9,12823,9,5,0,12,0,0,9474,8793,9367,8868,8301,8384,8864,-11.5,69,53184,24465,638208,538230,36.4,0,Dedicated Account Manager,8000,117549,1369.2,0.85,5.55,🟢 Healthy,Tier 3 – Monitor,2,5,5,-218.0,485.29032547537975,0.9457416807670614,0.141509475680489,14.2,538311
FF-1036,Casa Milano,Bar & Lounge,Pune,Continental,Priya Nair,289,4.9,73879,25,4,1,33,1,0,10296,10283,10112,6336,3945,2330,7217,-77.36,120,43302,19919,519624,19919,72.7,1,Extended Credit Terms,866,8688,902.2,0.7,0.34,🔴 Critical,Tier 3 – Monitor,5,2,0,-1593.2,3539.11107483221,0.3228041008589637,0.9214914517550166,92.1,97874
FF-1037,The Lemon Tree,Premium Café,Hyderabad,Fusion,Priya Nair,136,4.3,14710,14,3,0,44,1,2,8130,8054,7791,3882,1770,877,5084,-89.2,62,30504,14032,366048,14032,63.6,1,Extended Credit Terms,610,5354,776.4,0.7,0.21,🟡 At Risk,Tier 3 – Monitor,3,6,1,-1450.6,3333.260085861888,0.17246804326450343,0.9357475526322361,93.6,63119
FF-1038,Bourbon Street,4-Star Hotel,Bangalore,Continental,Vikram Singh,26,4.6,16956,25,5,4,21,0,3,11150,10854,10234,8283,6110,4806,8572,-56.89,13,51432,23659,617184,567816,9.1,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,0,0,0,-1268.8,2643.6175530259034,0.5605972238422956,0.1561723252122758,15.6,521925
FF-1039,Café Nuvola,Bar & Lounge,Delhi,Indian,Vikram Singh,156,4.3,31867,22,4,3,22,1,1,20421,20076,18956,11518,7072,4086,13688,-79.99,82,82128,37779,985536,906696,45.5,0,Dedicated Account Manager,8000,247528,2993.7,0.85,11.69,🟡 At Risk,Tier 1 – Urgent,2,2,2,-3267.0,7135.410525447478,0.2984878369493754,0.7135148036126925,71.4,651367
FF-1040,The Blue Petal Café II,Premium Café,Bangalore,Multi-Cuisine,Arjun Mehta,195,4.1,55124,30,6,5,2,1,3,17047,17128,16943,16278,14869,13890,16025,-18.52,57,96150,44229,1153800,619206,36.4,0,Dedicated Account Manager,8000,135234,1590.2,0.85,6.39,🟢 Healthy,Tier 2 – Engage,0,6,6,-631.4,1346.2824988339805,0.8667165855484837,0.1199342661114777,12.0,784292
FF-1041,Skyline Bar II,Bar & Lounge,Bangalore,Mediterranean,Priya Nair,234,4.4,10606,20,6,1,41,1,2,12506,11828,12009,10728,10564,9228,11143,-26.21,53,66858,30755,802296,707365,36.4,0,Extended Credit Terms,1337,154488,11446.3,0.7,6.01,🟢 Healthy,Tier 2 – Engage,0,2,5,-655.6,1204.295381817379,0.8280689160086145,0.09516764466273338,9.5,619814
FF-1042,Monarch Grand Hotel II,Premium Café,Delhi,Japanese,Priya Nair,101,4.2,68508,21,6,2,33,0,3,6726,6803,6346,5900,5315,4903,5998,-27.1,12,35988,16554,431856,248310,27.3,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,2,6,4,-364.6,771.2621906113814,0.817302883813969,0.03590386269962628,3.6,318847
FF-1043,Spice Route II,Cloud Kitchen,Bangalore,Japanese,Neha Joshi,242,4.3,72740,32,6,7,31,1,2,18380,19278,20633,20994,20418,20777,20080,13.04,13,120480,55421,1445760,1274683,36.4,0,Extended Credit Terms,2410,278390,11446.7,0.7,10.83,🟢 Healthy,Tier 2 – Engage,0,4,4,479.4,1027.079549012636,1.0346596285045566,0.26016743836783723,26.0,1064579
FF-1044,The Artisan Brew II,Premium Café,Mumbai,Japanese,Vikram Singh,122,4.6,64815,21,3,2,44,0,2,6338,6601,6870,3559,1634,792,4299,-87.49,120,25794,11865,309528,35595,72.7,1,Extended Credit Terms,516,15526,2903.3,0.7,0.6,🔴 Critical,Tier 3 – Monitor,4,6,4,-1109.2,2683.8643780936472,0.1841860465116279,0.8992834985082169,89.9,52213
FF-1045,Fusion 9 II,4-Star Hotel,Ranchi,Fusion,Priya Nair,292,4.1,69749,35,1,3,20,1,1,6892,6510,6600,6306,5966,5849,6353,-15.13,57,38118,17534,457416,227942,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,6,0,1,-208.6,395.5170877050278,0.9205225055083412,0.06879318568760352,6.9,359267
FF-1046,Cloud Nine Lounge II,Bar & Lounge,Ranchi,Italian,Arjun Mehta,33,3.3,71087,32,4,1,43,0,0,10375,9792,10306,8349,6939,5644,8567,-45.6,40,51402,23645,616824,307385,45.5,0,Extended Credit Terms,1028,83916,8055.2,0.7,3.27,🟡 At Risk,Tier 3 – Monitor,6,2,3,-946.2,1951.1763374948969,0.6587301587301587,0.313420763195412,31.3,471185
FF-1047,The Grand Palate II,Bar & Lounge,Delhi,Italian,Arjun Mehta,178,3.5,11256,30,3,0,20,0,2,11232,10815,10088,8349,6173,4606,8543,-58.99,80,51258,23579,615096,565896,36.4,0,Dedicated Account Manager,8000,123591,1444.7,0.85,5.84,🟢 Healthy,Tier 2 – Engage,2,2,3,-1325.2,2680.8293803721763,0.5390917602996255,0.4937271982216301,49.4,452385
FF-1048,Saffron Kitchen II,Bar & Lounge,Mumbai,Pan-Asian,Priya Nair,171,4.0,68511,12,6,0,43,1,2,13333,13036,12987,8668,5887,3796,9617,-71.52,104,57702,26543,692424,79629,63.6,1,Extended Credit Terms,1154,30386,2530.9,0.7,1.18,🟡 At Risk,Tier 3 – Monitor,4,2,7,-1907.4,4136.487757345193,0.3946766479517571,0.9514848912228622,95.1,128179
FF-1049,Urban Brew Co. II,Premium Café,Ranchi,Mediterranean,Vikram Singh,127,4.5,36878,18,7,4,10,0,1,14727,14511,14813,6868,3196,1503,9269,-89.79,57,55614,25582,667368,76746,54.5,1,Premium Flavour Trial,500,25095,4909.2,0.65,0.91,🟡 At Risk,Tier 3 – Monitor,6,6,5,-2644.8,6179.986202789345,0.16213592233009708,0.869001057442087,86.9,165301
FF-1050,The Cellar Bar II,Catering Service,Bangalore,Japanese,Arjun Mehta,207,4.3,4755,21,1,4,38,1,2,18879,19421,20442,21330,21569,21606,20541,14.44,3,123246,56693,1478952,1020474,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,0,3,4,545.4,1169.613169670497,1.0517963197351767,0.1326528920572707,13.3,1089531
FF-1051,Pearl Continental II,Fine Dining Restaurant,Pune,Italian,Neha Joshi,117,4.4,14984,13,7,0,3,0,0,22045,20481,21409,20477,20108,18203,20453,-17.43,5,122718,56450,1472616,1354800,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,5,5,3,-768.4,1313.8706811047527,0.889948176395815,0.07071121039257572,7.1,1098059
FF-1052,Breezy Bites II,Cloud Kitchen,Ranchi,Fusion,Arjun Mehta,150,4.1,57049,21,5,2,0,1,1,14956,13842,13348,12692,13106,13272,13536,-11.26,11,81216,37359,974592,859257,0.0,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,6,4,1,-336.8,788.9628635113315,0.9804240230479426,0.04583304527860698,4.6,782692
FF-1053,Metro Mixology II,Cloud Kitchen,Delhi,Pan-Asian,Riya Sharma,190,4.3,35003,8,7,7,27,0,0,16436,16151,17290,15722,15456,14074,15854,-14.37,71,95124,43757,1141488,87514,72.7,1,Extended Credit Terms,1902,38173,1906.0,0.7,1.49,🔴 Critical,Tier 3 – Monitor,2,4,7,-472.4,1080.1159968571278,0.887669504888048,0.6385248584070558,63.9,453309
FF-1054,The Social Hub II,5-Star Hotel,Delhi,Multi-Cuisine,Riya Sharma,202,3.8,74294,7,5,5,23,0,0,7339,7570,7115,6922,6784,6279,7001,-14.44,56,42006,19323,504072,115938,54.5,1,Dedicated Account Manager,8000,37911,373.8,0.85,1.79,🟡 At Risk,Tier 3 – Monitor,2,1,6,-212.0,452.90473612008077,0.8967437874892887,0.616334344874113,61.6,216953
FF-1055,Terrace & Toast II,Cloud Kitchen,Ranchi,Pan-Asian,Vikram Singh,58,4.0,45613,23,5,2,34,0,1,6041,5744,6088,5578,5183,5109,5623,-15.43,10,33738,15519,404856,263823,27.3,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,6,4,7,-186.4,416.0304876648665,0.9084281650071123,0.04721393394399793,4.7,305044
FF-1056,Altitude Lounge II,Premium Café,Delhi,Italian,Priya Nair,34,4.5,74569,32,6,7,12,1,2,6721,6873,7390,5541,4100,3067,5615,-54.36,34,33690,15497,404280,371928,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,2,6,3,-730.8,1717.5231779125038,0.5461182336182336,0.1626668078976644,16.3,308189
FF-1057,The Copper Pot II,Premium Café,Bangalore,Indian,Vikram Singh,23,4.8,5749,11,5,4,33,1,0,14421,13866,13149,11836,11665,10695,12605,-25.84,67,75630,34790,907560,834960,45.5,0,Extended Credit Terms,1513,227944,14955.8,0.7,8.87,🟡 At Risk,Tier 2 – Engage,0,6,2,-745.2,1435.7557823901204,0.8484055211803903,0.30706802431899055,30.7,524197
FF-1058,Velvet Room II,Premium Café,Chennai,Fusion,Vikram Singh,229,4.0,19701,22,2,3,10,1,0,21141,22446,23243,23738,22531,21229,22388,0.42,72,134328,61791,1611936,1050447,27.3,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,1,6,1,17.6,1046.4824891033772,0.9481888427352718,0.09810695223628621,9.8,1096585
FF-1059,Zest & Zeal II,Bar & Lounge,Bangalore,Indian,Vikram Singh,180,3.3,59076,22,4,7,35,1,0,15293,16261,15064,13982,12027,10650,13879,-30.36,31,83274,38306,999288,229836,54.5,1,Extended Credit Terms,1665,75156,4411.2,0.7,2.92,🟡 At Risk,Tier 3 – Monitor,0,2,2,-928.6,2142.1716784609025,0.7672910662824207,0.6383714048372449,63.8,486478
FF-1060,Neon Nights Bar II,Bar & Lounge,Mumbai,Japanese,Vikram Singh,35,3.5,10186,25,4,0,16,1,0,5611,5429,5346,5053,5123,4672,5205,-16.73,75,31230,14366,374760,344784,36.4,0,Premium Flavour Trial,500,75300,14930.1,0.65,2.72,🟢 Healthy,Tier 3 – Monitor,4,2,4,-187.8,331.3026813454226,0.8974260468689973,0.1661135283898715,16.6,302584
FF-1061,The Garden Table II,Premium Café,Ranchi,Indian,Neha Joshi,127,3.2,53863,22,6,4,34,0,1,20618,19727,19778,20347,19346,17182,19499,-16.66,71,116994,53817,1403928,215268,54.5,1,Extended Credit Terms,2340,70392,2907.0,0.7,2.74,🟡 At Risk,Tier 3 – Monitor,6,6,2,-687.2,1224.171992273417,0.8811282051282051,0.6538444880829307,65.4,674926
FF-1062,Harbour View II,Fine Dining Restaurant,Bangalore,Japanese,Neha Joshi,246,4.4,1161,28,2,4,17,1,1,15156,14940,15132,12451,10387,7661,12621,-49.45,66,75726,34834,908712,836016,18.2,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,0,5,4,-1499.0,3089.6719189368096,0.6069561083821898,0.15115792484051233,15.1,735421
FF-1063,Crimson Fork II,Bar & Lounge,Bangalore,Japanese,Arjun Mehta,189,3.8,45343,29,7,5,39,1,3,14069,13484,14424,13172,11981,10204,12889,-27.47,70,77334,35574,928008,142296,54.5,1,Extended Credit Terms,1547,46530,2905.9,0.7,1.81,🟡 At Risk,Tier 3 – Monitor,0,2,4,-773.0,1563.1012763093759,0.7916214119472459,0.6944194787083668,69.4,465259
FF-1064,Olive & Oak II,Premium Café,Chennai,Italian,Riya Sharma,53,4.2,61463,13,3,0,21,1,3,23943,24603,25281,18647,14762,10670,19651,-55.43,41,117906,54237,1414872,922029,0.0,0,No Intervention Needed,0,0,0.0,0.0,0.0,🟢 Healthy,Tier 3 – Monitor,1,6,3,-2654.6,6003.4850878468915,0.5429472827193161,0.130427460721604,13.0,971674
